game_key,event,year,name,id,category,start_time,duration,runners,host,max_viewers,median_donation,total_donations,donations_per_min,num_chats,is_Bonus,is_TASBot,has_Incentive,has_Goal,developer,publisher,initial_release_year,initial_consoles,initial_consoles_clean,initial_generation,metascore,user_score,was_on_PC,chats_per_hour,is_Sony,is_Nintendo,is_Microsoft,is_Sega,is_Atari,is_PC,is_Mobile,is_Arcade,is_Other
SGDQ_2017_The Wheel of Time,SGDQ,2017,The Wheel of Time,75,,2017-07-04 17:16:00,0.3222222222222222,Shaddex,,142645.0,50.0,1650.0,85.3448275862069,5851.0,0.0,0.0,1.0,1.0,Legend Entertainment,GT Interactive,1999.0,PC,PC,Various,83.0,8.5,1.0,18158.275862068967,0,0,0,0,0,1,0,0,0
SGDQ_2017_Brothers: A Tale of Two Sons,SGDQ,2017,Brothers: A Tale of Two Sons,4,,2017-07-04 17:44:20,1.2727777777777778,otdq,,155542.0,25.0,7777.25,101.840899170668,33193.0,0.0,0.0,0.0,0.0,Starbreeze Studios,505 Games,2013.0,"Xbox 360, PlayStation 3, Windows","Xbox 360, PS3, PC",7,90.0,8.5,1.0,26079.17939764295,1,0,1,0,0,1,0,0,0
SGDQ_2017_Banjo-Kazooie,SGDQ,2017,Banjo-Kazooie,5,,2017-07-04 19:15:42,2.0808333333333335,Stivitybobo,,167929.0,25.0,20960.65,167.886663996796,47580.0,0.0,0.0,0.0,0.0,Rare,Nintendo,1998.0,Nintendo 64,N64,5,92.0,9.0,0.0,22865.839006808168,0,1,0,0,0,0,0,0,0
SGDQ_2017_Pokemon Puzzle League,SGDQ,2017,Pokemon Puzzle League,6,,2017-07-04 21:32:33,0.5413888888888889,FFR Pro 21,,152345.0,15.0,5077.2,156.301693175988,16244.0,0.0,0.0,1.0,1.0,Nintendo Software Technology,Nintendo,2000.0,Nintendo 64,N64,5,81.0,8.0,0.0,30004.30990251411,0,1,0,0,0,0,0,0,0
SGDQ_2017_Pokémon HeartGold/SoulSilver,SGDQ,2017,Pokémon HeartGold/SoulSilver,7,,2017-07-04 22:22:02,2.606666666666667,Keizaron,,181413.0,15.0,36557.09,233.740984654731,76711.0,,,,,,,,,,,,,,29428.77237851662,0,0,0,0,0,0,0,0,1
SGDQ_2017_Half-Life,SGDQ,2017,Half-Life,79,,2017-07-05 01:21:26,0.6022222222222222,alexh0we,,181686.0,30.0,9189.87,254.332195571956,18434.0,0.0,0.0,0.0,0.0,Valve,Sierra Studios,1998.0,Windows,PC,Various,96.0,9.1,1.0,30609.963099630997,0,0,0,0,0,1,0,0,0
SGDQ_2017_Dishonored 2,SGDQ,2017,Dishonored 2,80,,2017-07-05 02:09:34,0.5872222222222223,Blood_Thunder,,155033.0,50.0,8299.1,235.546830652791,10875.0,0.0,0.0,1.0,0.0,Arkane Studios,Bethesda Softworks,2016.0,"PlayStation 4, Xbox One, Windows","PS4, Xbox One, PC",8,88.0,7.7,1.0,18519.394512771993,1,0,1,0,0,1,0,0,0
SGDQ_2017_Doom (2016),SGDQ,2017,Doom (2016),81,,2017-07-05 03:06:35,1.3097222222222222,TheFuncannon,,161068.0,30.0,13463.09,171.322460233298,28953.0,0.0,0.0,0.0,0.0,id Software,Bethesda Softworks,2016.0,"PlayStation 4, Xbox One, Windows","PS4, Xbox One, PC",8,85.0,8.5,1.0,22106.214209968188,1,0,1,0,0,1,0,0,0
SGDQ_2017_Half-Life 2,SGDQ,2017,Half-Life 2,82,,2017-07-05 04:49:35,1.7047222222222222,Woobly,,137769.0,30.0,8904.96,87.0616913801532,37831.0,0.0,0.0,0.0,0.0,Valve,Valve,2004.0,Windows,PC,Various,96.0,9.2,1.0,22191.885285970344,0,0,0,0,0,1,0,0,0
SGDQ_2017_Silent Hill 2,SGDQ,2017,Silent Hill 2,83,,2017-07-05 06:58:35,0.8694444444444445,tekkie,,136833.0,30.0,6298.36,120.735335463259,14498.0,0.0,0.0,1.0,1.0,Konami,Konami,2001.0,PlayStation 2,PS2,6,89.0,9.0,0.0,16675.015974440896,1,0,0,0,0,0,0,0,0
SGDQ_2017_Resident Evil,SGDQ,2017,Resident Evil,84,,2017-07-05 08:42:00,0.6955555555555556,RawDerps,,112190.0,25.0,1508.02,36.1346645367412,13379.0,0.0,0.0,1.0,0.0,Capcom,Capcom,1996.0,PlayStation,PlayStation,5,91.0,8.9,0.0,19234.984025559104,0,0,0,0,0,0,0,0,0
SGDQ_2017_Resident Evil: Code: Veronica X,SGDQ,2017,Resident Evil: Code: Veronica X,76,,2017-07-05 09:46:00,1.7183333333333335,Pessimism,,105557.0,20.0,5162.06,50.0684772065955,19924.0,0.0,0.0,0.0,0.0,Capcom,Capcom,2001.0,"PlayStation 2, Dreamcast","PS2, Dreamcast",6,84.0,8.5,0.0,11594.956353055286,1,0,0,1,0,0,0,0,0
SGDQ_2017_Onimusha: Warlords,SGDQ,2017,Onimusha: Warlords,8,,2017-07-05 11:48:00,1.2791666666666666,BOWIEtheHERO,,114578.0,20.0,2648.5,34.5081433224756,17978.0,0.0,0.0,1.0,1.0,Capcom,Capcom,2001.0,PlayStation 2,PS2,6,86.0,8.5,0.0,14054.462540716613,1,0,0,0,0,0,0,0,0
SGDQ_2017_Shuriken,SGDQ,2017,Shuriken,85,,2017-07-05 13:21:00,0.10750000000000001,SuccinctAndPunchy,,107595.0,15.0,360.0,55.8139534883721,1532.0,0.0,0.0,0.0,0.0,rxi,,2016.0,PC,PC,Various,,,1.0,14251.162790697674,0,0,0,0,0,1,0,0,0
SGDQ_2017_Alex Kidd in Shinobi World,SGDQ,2017,Alex Kidd in Shinobi World,86,,2017-07-05 13:43:00,0.12833333333333333,berlindude1,,109162.0,15.0,845.0,109.74025974026,2028.0,0.0,0.0,0.0,0.0,Sega,Sega,1990.0,Sega Master System,Sega Master System,3,,,0.0,15802.597402597403,0,0,0,1,0,0,0,0,0
SGDQ_2017_Ninja Gaiden (Sega Master System),SGDQ,2017,Ninja Gaiden (Sega Master System),9,,2017-07-05 13:55:00,0.3061111111111111,soothingplumtea,,111397.0,15.0,685.0,37.2958257713249,6251.0,0.0,0.0,0.0,0.0,Sega,Sega,1992.0,Sega Master System,Sega Master System,3,,,0.0,20420.689655172413,0,0,0,1,0,0,0,0,0
SGDQ_2017_Ninja Gaiden 3,SGDQ,2017,Ninja Gaiden 3,10,,2017-07-05 14:21:00,0.22194444444444444,InfestedRiche,,112013.0,20.0,1335.0,100.250312891114,2650.0,0.0,0.0,0.0,0.0,Team Ninja,Tecmo,2012.0,"PlayStation 3, Xbox 360","PS3, Xbox 360",7,58.0,5.8,0.0,11939.924906132666,1,0,1,0,0,0,0,0,0
SGDQ_2017_Kyatto Ninden Teyandee,SGDQ,2017,Kyatto Ninden Teyandee,11,,2017-07-05 14:42:00,0.1913888888888889,usedpizza,,112411.0,50.0,815.01,70.9732946298984,2746.0,0.0,0.0,0.0,0.0,Tecmo,Tecmo,1991.0,Nintendo Entertainment System,NES,3,,,0.0,14347.750362844703,0,1,0,0,0,0,0,0,0
